Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume USD
1564185600,7/27/19,ETHUSD,219.24,224.01,201.98,207.11,61446.44,13017139.04
1564099200,7/26/19,ETHUSD,219.16,220.66,212.65,219.24,41938.37,9080832.04
1564012800,7/25/19,ETHUSD,216.51,225.98,215.6,219.16,50627.74,11209917.51
1563926400,7/24/19,ETHUSD,212.05,218.21,200.59,216.51,70895.74,14851616.98
1563840000,7/23/19,ETHUSD,217.27,219,208.39,212.05,49935.81,10631463.03
1563753600,7/22/19,ETHUSD,225.47,228.19,211.56,217.27,45178.2,9851840.21
1563667200,7/21/19,ETHUSD,228.87,230,217.62,225.47,45332.13,10142177.16
1563580800,7/20/19,ETHUSD,221.45,236.31,220.5,228.87,51823.79,11853315.01
1563494400,7/19/19,ETHUSD,226.3,226.97,213.12,221.45,59990.45,13202941.22
1563408000,7/18/19,ETHUSD,211.5,230.15,206.4,226.3,120867.97,26378931.72
1563321600,7/17/19,ETHUSD,198.67,219.8,192.58,211.5,134744.22,27565362.72
1563235200,7/16/19,ETHUSD,228.13,234.57,190.41,198.67,188377.82,39229500.59
1563148800,7/15/19,ETHUSD,237.11,237.11,212.5,228.13,123742.37,27795455.91
1563062400,7/14/19,ETHUSD,269.18,269.99,229.18,237.11,106578.68,25801550.19
1562976000,7/13/19,ETHUSD,275.48,275.83,260.4,269.18,48568.51,13024139.12
1562889600,7/12/19,ETHUSD,268.49,279.02,266.33,275.48,37677.55,10305832.92
1562803200,7/11/19,ETHUSD,288.46,288.46,262.09,268.49,92395.91,25142063.67
1562716800,7/10/19,ETHUSD,307.95,314.73,281.63,288.46,94178.76,27734866.45
1562630400,7/9/19,ETHUSD,313.67,318.61,302.39,307.95,47378.91,14738194.59
1562544000,7/8/19,ETHUSD,306.47,315,302.51,313.67,49551.6,15292449.29
1562457600,7/7/19,ETHUSD,287.65,310.97,284.12,306.47,34106.66,10230284.21
1562371200,7/6/19,ETHUSD,287.6,297.88,285.48,287.65,22473.65,6569147.9
1562284800,7/5/19,ETHUSD,282.57,294.99,280.21,287.6,42960.96,12362801.08
1562198400,7/4/19,ETHUSD,302.1,303.79,280,282.57,37837.56,11087998.94
1562112000,7/3/19,ETHUSD,291.24,303.41,288.99,302.1,46721.28,13808154.52
1562025600,7/2/19,ETHUSD,293.51,295.99,271.6,291.24,97796.74,27591045.81
1561939200,7/1/19,ETHUSD,289.5,301.76,278.85,293.51,99327.66,28666181.39
1561852800,6/30/19,ETHUSD,317,323.23,286,289.5,84104.62,25424162.17
1561766400,6/29/19,ETHUSD,309.79,323.96,291,317,104992.62,31968981.99
1561680000,6/28/19,ETHUSD,293.68,312.74,289.88,309.79,84987.39,25712697.11
1561593600,6/27/19,ETHUSD,334.51,343.25,274.34,293.68,233918.78,71234428.52
1561507200,6/26/19,ETHUSD,316.88,363.29,314.45,334.51,223096.65,75231187.41
1561420800,6/25/19,ETHUSD,310.44,317.8,305.48,316.88,72356.03,22566034.2
1561334400,6/24/19,ETHUSD,305.99,313.09,295,310.44,62963.05,19252280.2
1561248000,6/23/19,ETHUSD,308.54,318.2,301,305.99,72651.19,22626209.99
1561161600,6/22/19,ETHUSD,296.08,314.56,293.52,308.54,116845.95,35626834.58
1561075200,6/21/19,ETHUSD,271.99,296.59,271.97,296.08,117230.37,33664058.53
1560988800,6/20/19,ETHUSD,268.91,274.2,266.51,271.99,40589.04,10987647.76
1560902400,6/19/19,ETHUSD,264.65,270,263.6,268.91,37467.05,10006306.88
1560816000,6/18/19,ETHUSD,273.74,274.14,260.97,264.65,61254.62,16292653.53
1560729600,6/17/19,ETHUSD,268.58,275.74,267.2,273.74,56198.45,15266667.96
1560643200,6/16/19,ETHUSD,269.44,278.8,263.11,268.58,82865.44,22483453.77
1560556800,6/15/19,ETHUSD,263.83,274,261.76,269.44,53303,14254276.93
1560470400,6/14/19,ETHUSD,255.15,266.18,252,263.83,84917.83,21903992.76
1560384000,6/13/19,ETHUSD,262.5,264.42,254.27,255.15,61284.67,15905831.08
1560297600,6/12/19,ETHUSD,245.17,263.68,243.21,262.5,95109.55,24094940.52
1560211200,6/11/19,ETHUSD,247.82,249,237.55,245.17,65477.3,15935158.85
1560124800,6/10/19,ETHUSD,231.25,248.24,227.39,247.82,68466.44,16468462.72
1560038400,6/9/19,ETHUSD,244.48,245,226.56,231.25,72846.23,17080057.5
1559952000,6/8/19,ETHUSD,249.5,250.76,241.7,244.48,47656.81,11744309.35
1559865600,6/7/19,ETHUSD,249.29,255,244.51,249.5,71270.28,17787180.61
1559779200,6/6/19,ETHUSD,245.88,251.62,235.22,249.29,71800.13,17393601.96
1559692800,6/5/19,ETHUSD,241.13,249.33,237.35,245.88,82193.26,20002457.96
1559606400,6/4/19,ETHUSD,249.83,251.49,233.44,241.13,170895.49,41512168.48
1559520000,6/3/19,ETHUSD,269.27,270.1,246.1,249.83,84732.67,21984877.48
1559433600,6/2/19,ETHUSD,264.86,273.84,263.72,269.27,45137.23,12135280.31
1559347200,6/1/19,ETHUSD,267.56,275,260.01,264.86,68260.99,18254580.28
1559260800,5/31/19,ETHUSD,254.49,268.69,243.13,267.56,117982.28,30357166.15
1559174400,5/30/19,ETHUSD,269.5,288.9,239.15,254.49,206573.66,55405881.95
1559088000,5/29/19,ETHUSD,271.27,274.28,257.39,269.5,69759.35,18664002.31
1559001600,5/28/19,ETHUSD,271.37,276.7,264.29,271.27,62693.75,16962161.35
1558915200,5/27/19,ETHUSD,268.35,279.5,264.09,271.37,99654.69,26946634.86
1558828800,5/26/19,ETHUSD,252.05,271,245.85,268.35,110329.73,28760665.36
1558742400,5/25/19,ETHUSD,249.6,258.92,248.34,252.05,53719.15,13588497.48
1558656000,5/24/19,ETHUSD,245.67,256.29,242.42,249.6,72567.22,18187554.2
1558569600,5/23/19,ETHUSD,243.2,248.69,231.23,245.67,101554.24,24466370.55
1558483200,5/22/19,ETHUSD,255,261.74,240,243.2,120088.2,30129076.83
1558396800,5/21/19,ETHUSD,252.2,264.45,247.81,255,129307.02,32962442.35
1558310400,5/20/19,ETHUSD,261.28,261.28,239,252.2,164249.38,41007343
1558224000,5/19/19,ETHUSD,234.01,264.96,232.01,261.28,183792.37,46571811.39
1558137600,5/18/19,ETHUSD,244.35,248.7,230.79,234.01,114985.41,27499986.77
1558051200,5/17/19,ETHUSD,264.7,270.25,222.78,244.35,379839.71,90711207.85
1557964800,5/16/19,ETHUSD,249.13,280,241.01,264.7,493377.12,129017010.9
1557878400,5/15/19,ETHUSD,217,250,217,249.13,353337.25,82790119.63
1557792000,5/14/19,ETHUSD,196,221,194.98,217,306277.57,63978036.08
1557705600,5/13/19,ETHUSD,187.94,209.05,185.5,196,223600.94,44434085.1
1557619200,5/12/19,ETHUSD,192.3,203.98,182.16,187.94,244931.27,46976717.73
1557532800,5/11/19,ETHUSD,171.87,206.87,171.87,192.3,346210.32,66097030.91
1557446400,5/10/19,ETHUSD,170,176.5,167.61,171.87,127150.95,21992233.05
1557360000,5/9/19,ETHUSD,169.21,173.35,165.3,170,81730.41,13819640.49
1557273600,5/8/19,ETHUSD,166.23,171.94,163.5,169.21,102783.03,17196564.88
1557187200,5/7/19,ETHUSD,171.2,180.75,171.14,177.51,64772.15,11487884.48
1557100800,5/6/19,ETHUSD,161.34,175.95,157,171.2,126618.72,21294002.1
1557014400,5/5/19,ETHUSD,161.95,163.52,157.12,161.34,35749.31,5749609.3
1556928000,5/4/19,ETHUSD,164.8,168.87,158.05,161.95,87578.46,14278144.48
1556841600,5/3/19,ETHUSD,158.81,169,157.93,164.8,99077.48,16271315.1
1556755200,5/2/19,ETHUSD,158.36,160.51,154.6,158.81,48346.36,7647629.16
1556668800,5/1/19,ETHUSD,160.36,163.08,156.75,158.36,57447.71,9142912.08
1556582400,4/30/19,ETHUSD,152.29,161,152.29,160.36,71433.09,11198966.79
1556496000,4/29/19,ETHUSD,153.2,157.33,149,152.29,83161.7,12696724.64
1556409600,4/28/19,ETHUSD,155.73,156.49,152.38,153.2,35538.62,5497299.76
1556323200,4/27/19,ETHUSD,153.07,158.27,152.33,155.73,39484.73,6128356.52
1556236800,4/26/19,ETHUSD,152.1,156,148.18,153.07,83329.58,12657952.53
1556150400,4/25/19,ETHUSD,165.6,166.71,146.5,152.1,126409.31,19842599.43
1556064000,4/24/19,ETHUSD,170.37,171.01,160.22,165.6,99525.89,16415405.26
1555977600,4/23/19,ETHUSD,171.56,176.94,168.84,170.37,66825.81,11595550.22
1555891200,4/22/19,ETHUSD,169.9,174.05,168.05,171.56,53062.29,9069790.93
1555804800,4/21/19,ETHUSD,173.75,174.29,166.2,169.9,50224.96,8515215.35
1555718400,4/20/19,ETHUSD,173.52,178,170.43,173.75,46505.02,8105008.98
1555632000,4/19/19,ETHUSD,174.04,174.68,169.28,173.52,51625.46,8890099.34
1555545600,4/18/19,ETHUSD,166.57,176.38,166.06,174.04,86273.73,14896689.51
1555459200,4/17/19,ETHUSD,166.37,168.4,164.17,166.57,42780.87,7110844.22
1555372800,4/16/19,ETHUSD,160.19,168.11,159.48,166.37,62923.52,10323612.34
1555286400,4/15/19,ETHUSD,167.98,169.52,155,160.19,97585.39,15862566.51
1555200000,4/14/19,ETHUSD,163.7,169.05,161.05,167.98,43667.03,7201593.28
1555113600,4/13/19,ETHUSD,164.18,166.19,162.18,163.7,30843.33,5066527.33
1555027200,4/12/19,ETHUSD,164.89,167.83,160.01,164.18,75987.32,12464015.17
1554940800,4/11/19,ETHUSD,177.54,177.84,160.53,164.89,122016.61,20396380.86
1554854400,4/10/19,ETHUSD,175.9,185,170.1,177.54,135804.12,24297776
1554768000,4/9/19,ETHUSD,180.64,180.81,174.3,175.9,61784.59,10942299.7
1554681600,4/8/19,ETHUSD,174.71,187.81,173.68,180.64,175999.67,31848923.29
1554595200,4/7/19,ETHUSD,165.2,176.86,163.88,174.71,91128.6,15559646.2
1554508800,4/6/19,ETHUSD,165.87,173.18,156,165.2,102177.77,16991048.76
1554422400,4/5/19,ETHUSD,157.62,168.5,156.21,165.87,98496.56,16155750.52
1554336000,4/4/19,ETHUSD,161.3,165.2,153.53,157.62,142612.68,22753322.65
1554249600,4/3/19,ETHUSD,164.62,180,153.42,161.3,362639.51,61266241.27
1554163200,4/2/19,ETHUSD,141.03,167.76,140.77,164.62,273121.27,42323668.82
1554076800,4/1/19,ETHUSD,141.29,143,138.6,141.03,60677.81,8580089.22
1552953600,3/19/19,ETHUSD,136.85,138.66,136.51,137.77,3798.25,522838.71
1552867200,3/18/19,ETHUSD,138.02,141.36,135.03,136.85,65393.71,9002899.15
1552780800,3/17/19,ETHUSD,140.4,140.4,136.27,138.02,55050.45,7601468.49
1552694400,3/16/19,ETHUSD,135.89,143.75,135.83,140.4,122594.47,17213691.3
1552608000,3/15/19,ETHUSD,131.36,136.9,131.36,135.89,78640.04,10550554.39
1552521600,3/14/19,ETHUSD,131.26,136.25,128,131.36,86569,11381479.43
1552435200,3/13/19,ETHUSD,132.91,132.91,130.18,131.26,30210.15,3970212.12
1552348800,3/12/19,ETHUSD,131.8,134.4,127.45,132.91,83807.55,11039750.77
1552262400,3/11/19,ETHUSD,134.67,135.59,130.45,131.8,75084.44,9956983.53
1552176000,3/10/19,ETHUSD,136.41,136.83,133.3,134.67,43176.64,5814116.17
1552089600,3/9/19,ETHUSD,132.74,138.27,131.86,136.41,61749.37,8393885.25
1552003200,3/8/19,ETHUSD,136.19,138.79,129.39,132.74,96297.38,12946567.44
1551916800,3/7/19,ETHUSD,136.92,139.86,133.63,136.19,89546.53,12255798.5
1551830400,3/6/19,ETHUSD,136.49,140.61,132.49,136.92,134097.39,18308578.39
1551744000,3/5/19,ETHUSD,125.18,137.64,124.75,136.49,164951.93,21794648.18
1551657600,3/4/19,ETHUSD,129.81,130.38,122.55,125.18,137473.24,17324702.48
1551571200,3/3/19,ETHUSD,132.23,134.77,127,129.81,65440.22,8600577.84
1551484800,3/2/19,ETHUSD,134.79,135.42,129.13,132.23,71538.74,9459646.57
1551398400,3/1/19,ETHUSD,134.52,137.73,133.63,134.79,59319.14,8042045.28
1551312000,2/28/19,ETHUSD,134.11,139.7,131.45,134.52,143473.6,19449552.21
1551225600,2/27/19,ETHUSD,135.71,139.95,126.5,134.11,142267.13,18945313.84
1551139200,2/26/19,ETHUSD,137.54,138.04,133.11,135.71,73515.19,9975962.19
1551052800,2/25/19,ETHUSD,131.75,141.04,131.01,137.54,204217.17,27943936.9
1550966400,2/24/19,ETHUSD,157.5,166.62,131.18,131.75,348738.93,51240425.83
1550880000,2/23/19,ETHUSD,146.57,159.4,144.67,157.5,160003.66,24484934.38
1550793600,2/22/19,ETHUSD,144.17,147.48,142.22,146.57,101538.62,14787189.57
1550707200,2/21/19,ETHUSD,147.29,148.98,141.68,144.17,90960.38,13138829.9
1550620800,2/20/19,ETHUSD,142.85,148.7,139.51,147.29,136316.46,19638758.88
1550534400,2/19/19,ETHUSD,144.71,149.62,142.44,142.85,167609.03,24420289.8
1550448000,2/18/19,ETHUSD,132.32,148.59,131.01,144.71,321893.09,45134981.32
1550361600,2/17/19,ETHUSD,121.54,134.4,121.5,132.32,177876.8,22704748.98
1550275200,2/16/19,ETHUSD,120.48,123.78,120.41,121.54,43959.2,5354572.12
1550188800,2/15/19,ETHUSD,119.37,123.14,119.03,120.48,71984.75,8699798.19
1550102400,2/14/19,ETHUSD,120.58,123.11,115,119.37,107537.89,12955695.15
1550016000,2/13/19,ETHUSD,121.08,125.44,119.55,120.58,78762.9,9572981.02
1549929600,2/12/19,ETHUSD,119.52,122.73,117,121.08,116850.31,13991886.11
1549843200,2/11/19,ETHUSD,123.98,124.22,118.09,119.52,107888.03,12938764.17
1549756800,2/10/19,ETHUSD,117.98,125.1,114.21,123.98,126454.92,15023539.79
1549670400,2/9/19,ETHUSD,118.07,119.95,116.6,117.98,61448.83,7244561.11
1549584000,2/8/19,ETHUSD,103.32,122.36,102.37,118.07,248434.16,28062380.08
1549497600,2/7/19,ETHUSD,103.26,104.75,102.68,103.32,67882.27,7033025.71
1549411200,2/6/19,ETHUSD,106.14,106.71,100.03,103.26,154731.99,15883556
1549324800,2/5/19,ETHUSD,106.03,106.5,104.82,106.14,64150.65,6791447.05
1549238400,2/4/19,ETHUSD,106,108.12,105.35,106.03,84238.54,8946178.81
1549152000,2/3/19,ETHUSD,109.41,110.33,104.41,106,106140.64,11389541.39
